"sexe" "educ" "stat_pro" "salaire" "salembau" "ancienne" "exppasse" "national" "age"
"66" 2 19 3 78125 30000 93 7 0 40
"67" 2 16 3 46000 21240 93 35 0 38
"68" 2 16 3 45250 21480 93 36 0 39
"69" 2 16 3 56550 25000 93 34 0 42
"70" 2 15 1 41100 20250 93 27 0 40
"71" 2 17 3 82500 34980 93 207 0 54
"72" 1 16 1 54000 18000 93 11 0 38
"73" 1 12 1 26400 10500 93 0 0 34
"74" 1 15 1 33900 19500 93 192 0 69
"75" 1 15 1 24150 11550 93 0 0 37
"76" 1 15 1 29250 11550 93 11 0 35
"77" 1 12 1 27600 11400 93 6 0 34
"78" 1 12 1 22950 10500 93 10 0 34
"79" 1 16 1 34800 14550 93 8 0 40
"80" 1 16 1 51000 18000 93 22 0 41
"81" 1 12 1 24300 10950 93 5 0 34
"82" 1 12 1 24750 14250 93 193 1 55
"83" 1 12 1 22950 11250 93 0 1 35
"84" 1 8 1 25050 10950 93 8 1 35
"85" 2 15 1 25950 17100 92 42 0 40
"86" 2 15 1 31650 15750 92 64 0 41
"87" 2 12 1 24150 14100 92 130 0 43
"88" 2 19 3 72500 28740 92 10 0 40
"89" 2 19 3 68750 27480 92 8 0 41
"90" 1 8 1 16200 9750 92 0 0 64
"91" 1 12 1 20100 11250 92 24 0 35
"92" 1 8 1 24000 10950 92 6 0 34
"93" 1 12 1 25950 10950 92 0 0 34
"94" 1 12 1 24600 10050 92 44 0 52
"95" 1 12 1 28500 10500 92 6 0 34
"96" 2 8 2 30750 15000 92 432 1 69
"97" 2 17 1 40200 19500 92 168 1 49
"98" 2 8 2 30000 15000 92 144 1 46
"99" 1 12 1 22050 10950 92 5 1 34
"100" 2 18 3 78250 27480 91 47 0 39
"101" 2 16 3 60625 22500 91 44 0 42
"102" 2 14 1 39900 15750 91 59 0 39
"103" 2 19 3 97000 35010 91 68 0 43
"104" 2 15 1 27450 15750 91 48 0 40
"105" 2 15 1 31650 13500 91 18 0 36
"106" 2 19 3 91250 29490 91 23 0 40
"107" 1 12 1 25200 14400 91 83 0 42
"108" 1 12 1 21000 11550 91 108 0 72
"109" 2 12 1 30450 15000 91 49 1 39
"110" 2 15 1 28350 18000 91 151 1 50
"111" 2 12 2 30750 9000 91 314 1 62
"112" 2 12 2 30750 15000 91 240 1 54
"113" 2 16 3 54875 27480 90 68 0 43
"114" 2 14 1 37800 16500 90 60 0 41
"115" 2 15 1 33450 14100 90 85 0 41
"116" 2 15 1 30300 16500 90 16 0 40
"117" 1 12 1 31500 18750 90 205 0 70
"118" 1 12 1 31650 14250 90 48 0 38
"119" 1 12 1 25200 14100 90 55 0 39
"120" 1 16 3 37800 15750 90 7 0 38
"121" 1 15 1 18750 10500 90 54 0 66
"122" 1 15 1 32550 13500 90 22 0 37
"123" 1 12 1 33300 15000 90 3 0 53
"124" 1 16 1 38550 16500 90 0 0 39
"125" 2 12 1 27450 15000 90 173 1 46
"126" 2 15 2 24300 15000 90 191 1 51
"127" 2 12 2 30750 15000 90 209 1 52
"128" 1 12 1 19650 9750 90 229 1 56
"129" 2 17 3 68750 27510 89 38 0 43
"130" 2 20 3 59375 30000 89 6 0 44
"131" 2 15 1 31500 15750 89 22 0 40
"132" 2 12 1 27300 17250 89 175 0 49
"133" 2 15 1 27000 15750 89 87 0 43
"134" 1 16 3 41550 24990 89 285 0 61
"135" 1 12 1 26250 10950 89 0 0 34
"136" 2 12 1 22200 15000 88 324 0 63
"137" 2 21 3 65000 37500 88 264 0 65
"138" 2 12 1 30900 15000 88 252 0 55
"139" 1 8 1 20100 13200 88 90 0 71
"140" 1 12 1 22350 13500 88 26 0 37
"141" 1 15 1 35550 13350 88 32 0 36
"142" 1 12 1 28500 13950 88 34 0 36
"143" 1 12 1 24450 13200 88 107 0 63
"144" 1 8 1 16650 9750 88 412 0 71
"145" 2 12 1 26700 13500 88 38 1 38
"146" 2 18 1 43950 23250 88 182 1 51
"147" 2 15 1 23700 13500 88 359 1 66
"148" 1 15 1 26550 14250 88 61 1 43
"149" 2 12 1 27600 15000 87 75 0 40
"150" 2 12 1 25800 15000 87 143 0 48
"151" 2 16 3 42300 26250 87 126 0 48
"152" 2 8 2 30750 15000 87 451 0 73
"153" 1 12 1 26700 12900 87 18 0 35
"154" 1 12 1 20850 12000 87 163 0 62
"155" 2 15 1 35250 15000 87 54 1 39
"156" 2 15 1 26700 15000 87 56 1 39
"157" 1 12 1 26550 13050 87 11 1 35
"158" 1 12 1 27750 12000 87 11 1 38
"159" 1 16 1 25050 12750 87 123 1 51
"160" 2 16 3 66000 47490 86 150 0 51
"161" 2 16 1 52650 19500 86 20 0 39
"162" 2 16 3 45625 23250 86 60 0 41
"163" 2 15 1 30900 15000 86 25 0 37
"164" 1 15 1 29400 16500 86 24 0 37
"165" 1 15 1 33300 13500 86 24 0 36
"166" 1 12 1 21900 9750 86 156 0 60
"167" 1 12 1 18150 9750 86 72 0 70
"168" 1 16 3 46875 17250 86 19 0 40
"169" 2 12 1 25500 14400 86 37 1 37
"170" 2 12 1 26550 15000 86 38 1 38
"171" 2 12 1 26700 13500 86 367 1 72
"172" 1 15 1 29850 15000 86 79 1 49
"173" 2 20 3 69250 42480 85 134 0 52
"174" 2 8 2 31950 15000 85 438 0 67
"175" 2 8 1 26250 15600 85 171 0 64
"176" 1 16 1 35700 17250 85 19 0 40
"177" 1 12 1 28500 16500 85 69 0 40
"178" 1 12 1 17100 10200 85 72 0 64
"179" 2 12 1 25200 13050 85 29 1 37
"180" 1 12 1 24000 12750 85 59 1 42
"181" 1 12 1 27450 10200 85 101 1 63
"182" 1 12 1 18450 10200 85 228 1 59
"183" 2 15 1 39300 15750 84 72 0 42
"184" 2 15 1 38850 15000 84 53 0 38
"185" 2 8 2 30750 15000 84 380 0 72
"186" 2 15 1 37500 20400 84 33 0 38
"187" 2 16 3 58750 21750 84 13 0 39
"188" 1 12 1 34500 18750 84 208 0 68
"189" 1 12 1 36000 19980 84 240 0 52
"190" 1 8 1 29100 16500 84 35 0 70
"191" 1 12 1 16500 10200 84 288 0 71
"192" 2 12 1 19650 12750 84 180 1 53
"193" 1 12 1 24750 12000 84 41 1 36
"194" 1 15 1 27150 15750 84 231 1 64
"195" 1 12 1 26400 12750 84 36 1 47
"196" 1 16 1 23100 12000 84 214 1 56
"197" 2 15 3 54900 25500 83 49 0 40
"198" 2 19 3 70875 43500 83 156 0 50
"199" 2 16 3 51250 27480 83 69 0 44
"200" 2 17 3 67500 34980 83 9 0 39
"201" 2 12 1 29340 19500 83 150 0 47
"202" 2 15 1 39600 16500 83 47 0 39
"203" 2 12 1 29100 15000 83 50 0 38
"204" 2 15 1 33150 16500 83 69 0 42
"205" 2 16 3 66750 52500 83 258 0 58
"206" 2 12 2 33750 15000 83 284 0 59
"207" 2 15 1 27300 17250 83 91 0 43
"208" 1 12 1 24000 11250 83 16 0 34
"209" 1 8 1 19800 10200 83 75 0 68
"210" 2 15 1 30600 16500 83 216 1 53
"211" 2 15 1 28950 15000 83 108 1 52
"212" 2 15 1 38400 16500 83 64 1 37
"213" 2 8 2 30750 15000 83 302 1 57
"214" 1 12 1 20400 10950 83 9 1 34
"215" 1 12 1 19200 11100 83 7 1 34
"216" 2 15 1 30150 15750 82 72 0 38
"217" 2 16 1 34620 27750 82 149 0 53
"218" 2 15 1 80000 15750 82 34 0 38
"219" 2 12 1 25350 15000 82 32 0 39
"220" 2 12 1 29850 15750 82 85 0 39
"221" 1 12 1 24000 13800 82 97 0 55
"222" 1 15 1 27750 19500 82 265 0 67
"223" 1 8 1 22350 10200 82 48 0 60
"224" 1 12 1 16200 10200 82 0 0 68
"225" 1 15 1 21900 12750 82 0 0 35
"226" 1 16 1 23250 15750 82 4 0 38
"227" 1 12 1 33900 12000 82 11 0 37
"228" 1 15 1 25650 14250 82 51 0 39
"229" 1 12 1 17250 10200 82 358 0 62
"230" 2 15 1 22500 15000 82 371 1 68
"231" 2 16 3 40200 21000 81 3 0 37
"232" 2 19 3 55500 33750 81 62 0 39
"233" 2 15 1 26550 15000 81 52 0 39
"234" 2 15 1 50550 19500 81 44 0 42
"235" 2 19 3 75000 31500 81 13 0 40
"236" 1 8 1 27450 12000 81 9 0 33
"237" 1 12 1 22650 11250 81 0 0 33
"238" 1 12 1 27300 11250 81 5 0 33
"239" 1 12 1 27750 11225 81 5 0 33
"240" 1 16 3 54375 18750 81 81 0 41
"241" 1 8 1 17400 10200 81 390 0 66
"242" 1 12 1 40800 18000 81 4 0 35
"243" 1 12 1 23100 10950 81 0 0 33
"244" 1 8 1 22500 10950 81 5 0 33
"245" 1 12 1 26700 11550 81 18 0 33
"246" 1 12 1 24900 11250 81 0 0 34
"247" 1 12 1 19650 10950 81 11 0 34
"248" 1 12 1 22050 10950 81 9 0 33
"249" 1 12 1 25500 12000 81 11 0 33
"250" 1 15 1 28200 12750 81 19 0 36
"251" 1 12 1 23100 11250 81 13 0 33
"252" 2 12 1 25500 11400 81 9 1 33
"253" 1 8 1 17100 10200 81 0 1 60
"254" 2 18 3 68125 32490 80 29 0 38
"255" 2 12 2 30600 15750 80 460 0 70
"256" 2 19 3 52125 27480 80 221 0 54
"257" 2 19 3 61875 36750 80 199 0 51
"258" 2 8 1 21300 11550 80 24 0 33
"259" 1 12 1 19650 11250 80 5 0 33
"260" 1 12 1 22350 11250 80 5 0 33
"261" 1 12 1 23400 11250 80 18 0 33
"262" 1 12 1 24300 10950 80 8 0 34
"263" 1 12 1 28500 11250 80 4 0 34
"264" 1 12 1 19950 11250 80 8 0 33
"265" 1 12 1 23400 11250 80 0 0 33
"266" 1 16 1 34500 17250 80 3 0 39
"267" 1 12 1 18150 10950 80 0 0 33
"268" 2 12 1 22350 15000 80 272 1 66
"269" 2 15 1 40200 17250 79 38 0 36
"270" 2 15 1 28650 18000 79 261 0 55
"271" 2 15 1 27750 16500 79 55 0 39
"272" 2 18 1 66875 31980 79 30 0 38
"273" 2 12 2 30000 15750 79 308 0 63
"274" 2 16 3 83750 21750 79 12 0 38
"275" 2 12 1 33900 16500 79 94 0 39
"276" 2 16 3 56500 21000 79 12 0 37
"277" 1 16 3 43000 17490 79 20 0 37
"278" 1 8 1 20850 12000 79 70 0 59
"279" 1 12 1 24450 12000 79 8 0 33
"280" 1 12 1 24750 10950 79 5 0 33
"281" 2 8 2 34500 15750 79 246 1 57
"282" 2 14 1 27900 15000 79 47 1 39
"283" 2 19 3 68125 32010 78 35 0 39
"284" 2 19 3 73500 33000 78 45 0 41
"285" 2 8 2 30750 15750 78 429 0 72
"286" 2 15 3 40050 25500 78 133 0 44
"287" 2 16 1 40350 19500 78 20 0 37
"288" 2 15 3 38700 23730 78 176 0 47
"289" 2 17 3 65000 30750 78 26 0 38
"290" 2 18 3 51450 36240 78 149 0 48
"291" 2 12 2 35250 15750 78 387 0 68
"292" 2 14 1 25950 15000 78 53 0 39
"293" 2 15 1 25050 14250 78 24 0 37
"294" 2 12 1 26700 12750 78 25 0 34
"295" 2 8 1 24000 15750 78 476 0 70
"296" 2 12 1 26850 15000 78 48 0 38
"297" 1 12 1 23400 15300 78 209 0 60
"298" 1 12 1 24600 13500 78 47 0 36
"299" 1 15 1 32550 18000 78 6 0 37
"300" 2 16 1 26550 15000 78 105 1 42
"301" 2 12 1 31500 13500 78 7 1 34
"302" 2 8 1 22350 15000 78 320 1 63
"303" 2 12 2 35250 15750 78 281 1 64
"304" 1 15 1 25800 13500 78 51 1 57
"305" 2 12 2 30750 15750 77 317 0 61
"306" 2 15 1 30750 16500 77 41 0 36
"307" 2 16 3 50000 32490 77 264 0 57
"308" 2 15 1 34500 18000 77 63 0 39
"309" 2 15 1 26250 15750 77 38 0 38
"310" 2 16 1 44875 21240 77 22 0 38
"311" 1 12 1 22500 12000 77 63 0 51
"312" 1 12 1 25650 14250 77 64 0 39
"313" 1 12 1 21300 11250 77 0 0 33
"314" 1 12 1 29850 13500 77 38 0 36
"315" 1 12 1 34500 12150 77 4 0 33
"316" 2 15 1 27750 15000 77 52 1 42
"317" 2 12 1 27750 11550 77 12 1 33
"318" 2 16 3 48750 21990 76 61 0 41
"319" 2 15 1 43410 15750 76 12 0 36
"320" 2 12 1 22050 15000 76 385 0 66
"321" 1 12 1 22050 12000 76 6 0 49
"322" 1 12 1 22500 14250 76 90 0 64
"323" 1 15 1 25500 12000 76 7 0 35
"324" 1 12 1 29160 15000 76 22 0 36
"325" 1 8 1 16800 10200 76 76 0 68
"326" 2 8 2 29550 15750 76 144 1 44
"327" 2 12 1 26700 15750 76 18 1 37
"328" 2 18 3 55000 32490 75 125 0 50
"329" 2 18 3 62500 34980 75 74 0 44
"330" 2 15 1 27300 17250 75 132 0 43
"331" 1 12 1 24450 12000 75 144 0 60
"332" 1 16 1 33000 18000 75 26 0 38
"333" 1 15 1 37050 18000 75 5 0 37
"334" 1 12 1 24450 10950 75 32 1 36
"335" 2 8 2 31950 15750 74 408 0 72
"336" 2 16 3 47250 21240 74 45 0 38
"337" 1 12 1 26100 11550 74 2 0 32
"338" 1 8 1 15900 10200 74 43 0 64
"339" 1 8 1 23700 10650 74 281 0 60
"340" 1 8 1 21750 12450 74 318 0 68
"341" 2 12 3 59400 33750 74 272 1 57
"342" 1 12 1 24450 14250 74 117 1 54
"343" 2 16 3 103500 60000 73 150 0 49
"344" 2 12 1 35700 16500 73 72 0 39
"345" 1 12 1 22200 16500 73 7 0 33
"346" 1 15 1 22950 13950 73 22 0 34
"347" 1 12 1 23100 12000 73 228 0 58
"348" 1 16 3 56750 30000 73 15 0 40
"349" 1 17 1 29100 12750 73 375 0 64
"350" 1 12 1 37650 15750 73 132 0 63
"351" 1 12 1 27900 13500 73 32 0 36
"352" 1 8 1 21150 12000 73 159 0 69
"353" 2 12 2 31200 15750 73 155 1 47
"354" 1 12 1 20550 11250 73 154 1 56
"355" 2 15 1 25950 17250 72 83 0 41
"356" 2 15 1 28350 15000 72 48 0 37
"357" 1 8 1 17700 10200 72 184 0 70
"358" 1 15 1 23550 13500 72 49 0 58
"359" 1 12 1 19950 10200 72 56 0 61
"360" 1 12 1 29400 15300 72 30 0 34
"361" 1 12 1 28800 13950 72 18 0 36
"362" 1 8 1 16950 10200 72 319 0 65
"363" 2 16 1 35700 18000 72 138 1 48
"364" 1 12 1 17400 10200 72 116 1 55
"365" 1 8 1 21450 10200 72 194 1 54
"366" 1 12 1 24750 12000 72 68 1 41
"367" 1 12 1 16950 10200 72 271 1 60
"368" 1 12 1 26100 13500 72 169 1 59
"369" 2 14 1 28050 15000 71 15 0 35
"370" 1 16 1 36600 18000 71 12 0 39
"371" 1 16 3 58125 18000 71 11 0 36
"372" 2 15 1 21300 15750 70 372 0 67
"373" 2 12 1 22500 16500 70 216 0 53
"374" 2 15 1 29400 15750 70 15 0 35
"375" 2 12 1 27450 14700 70 41 0 36
"376" 2 15 1 29850 15750 70 48 0 38
"377" 2 15 1 25350 15750 70 56 0 37
"378" 1 8 1 15750 10200 70 275 0 72
"379" 1 8 1 19650 13050 70 102 0 64
"380" 1 12 1 21000 13500 70 82 0 61
"381" 2 17 1 27000 18000 70 192 1 56
"382" 2 12 1 24000 15750 70 120 1 43
"383" 2 17 3 78500 28740 70 67 1 41
"384" 1 12 1 20850 13050 70 127 1 47
"385" 2 12 2 30000 15750 69 348 0 72
"386" 2 8 2 28500 15750 69 174 0 68
"387" 2 19 3 65000 31980 69 74 0 37
"388" 2 14 1 30150 16500 69 110 0 43
"389" 2 19 3 66875 32490 69 81 0 43
"390" 1 15 1 24150 13500 69 7 0 34
"391" 1 12 1 24450 12450 69 12 0 33
"392" 1 12 1 21600 12000 69 0 0 32
"393" 1 12 1 27900 12450 69 0 0 33
"394" 1 8 1 29100 12450 69 17 0 32
"395" 1 12 1 22650 11250 69 2 0 32
"396" 1 12 1 20850 11250 69 0 0 32
"397" 1 12 1 22950 12300 69 5 0 32
"398" 1 12 1 30600 12450 69 5 0 32
"399" 1 12 1 20400 11250 69 0 0 32
"400" 1 12 1 23850 12750 69 20 0 33
"401" 1 12 1 22800 11250 69 0 0 32
"402" 1 12 1 20700 11250 69 2 0 32
"403" 1 12 1 21300 11250 69 3 1 32
"404" 1 12 1 24300 15000 69 121 1 49
"405" 1 12 1 19650 13950 69 133 1 58
"406" 2 17 3 60000 32490 68 17 0 37
"407" 2 15 1 30300 15750 68 55 0 37
"408" 2 19 3 61250 33000 68 9 0 38
"409" 2 19 1 36000 19500 68 21 0 40
"410" 1 8 1 25200 18750 68 344 0 60
"411" 1 12 1 16200 10200 68 180 0 71
"412" 1 12 1 22800 11250 68 2 0 32
"413" 1 16 3 43500 19500 68 11 0 36
"414" 2 8 2 30300 15750 68 155 1 41
"415" 2 15 1 31950 15750 68 70 1 39
"416" 2 15 1 35250 13500 67 6 0 37
"417" 2 15 1 37800 15000 67 36 0 35
"418" 2 15 1 31200 15750 67 46 0 37
"419" 2 15 1 29400 16500 67 68 0 38
"420" 2 19 3 70000 35040 67 75 0 45
"421" 2 15 1 33900 15750 67 96 0 41
"422" 2 15 1 27150 16500 67 78 0 39
"423" 1 12 1 22200 13800 67 196 0 66
"424" 1 15 1 31350 11100 67 47 0 36
"425" 1 12 1 20850 13500 67 181 0 60
"426" 2 16 1 33300 17490 67 120 1 50
"427" 2 8 1 26250 16050 67 97 1 60
"428" 2 15 1 31950 15750 67 58 1 38
"429" 2 8 2 30000 15750 67 305 1 56
"430" 2 19 3 66250 34980 67 99 1 46
"431" 2 18 3 86250 45000 66 50 0 43
"432" 2 12 1 30750 15000 66 56 0 38
"433" 2 12 1 33540 15750 66 47 0 36
"434" 2 15 1 40350 16500 66 80 0 38
"435" 2 12 1 30270 15750 66 80 0 37
"436" 2 8 1 26250 16050 66 264 0 69
"437" 2 15 1 32400 15000 66 64 0 38
"438" 1 12 1 20400 11250 66 0 0 32
"439" 1 8 1 24150 12750 66 96 0 55
"440" 1 15 1 23850 13500 66 122 0 53
"441" 1 12 1 29700 13500 66 26 0 34
"442" 1 8 1 21600 13500 66 228 0 73
"443" 1 12 1 24450 15750 66 87 0 41
"444" 2 15 1 28050 16500 66 84 1 39
"445" 2 16 3 100000 44100 66 128 1 44
"446" 2 15 1 49000 20550 66 86 1 41
"447" 1 12 1 16350 10200 66 163 1 69
"448" 2 16 3 70000 21750 65 19 0 36
"449" 2 19 3 55000 34980 65 129 0 48
"450" 2 15 1 28500 14250 65 20 0 33
"451" 2 12 1 28800 18000 65 210 0 49
"452" 2 15 1 24450 15750 65 338 0 72
"453" 2 19 3 90625 31250 65 18 0 37
"454" 2 16 3 43650 19500 65 19 0 38
"455" 2 19 3 75000 42510 65 54 0 43
"456" 2 15 1 31650 14250 65 10 0 34
"457" 2 19 3 61875 28740 65 26 0 37
"458" 1 12 1 21750 11250 65 0 0 31
"459" 1 12 1 22500 12750 65 24 0 33
"460" 1 8 1 21600 13500 65 173 0 59
"461" 1 16 3 34410 19500 65 79 0 39
"462" 1 15 1 20700 14250 65 241 0 68
"463" 2 19 3 47550 33000 64 27 0 40
"464" 2 12 1 33900 16500 64 106 0 40
"465" 1 12 1 23400 13500 64 198 0 54
"466" 1 16 1 32850 19500 64 20 0 35
"467" 1 16 3 55750 19980 64 36 0 37
"468" 1 15 1 25200 13950 64 57 0 38
"469" 2 12 1 26250 15750 64 69 1 38
"470" 2 15 1 26400 15750 64 32 1 36
"471" 2 15 1 39150 15750 63 46 0 36
"472" 1 12 1 21450 12750 63 139 0 65
"473" 1 12 1 29400 14250 63 9 0 34
